pygame 2.6.1 (SDL 2.28.4, Python 3.13.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
Iteration 1/1000 - Best score = 0.0051
Iteration 2/1000 - Best score = 0.0051
Iteration 3/1000 - Best score = 0.0060
Iteration 4/1000 - Best score = 0.0060
Iteration 5/1000 - Best score = 0.0060
Iteration 6/1000 - Best score = 0.0060
Iteration 7/1000 - Best score = 0.0070
Iteration 8/1000 - Best score = 0.0070
Iteration 9/1000 - Best score = 0.0070
Iteration 10/1000 - Best score = 0.0080
Iteration 11/1000 - Best score = 0.0080
Iteration 12/1000 - Best score = 0.0080
Iteration 13/1000 - Best score = 0.0081
Iteration 14/1000 - Best score = 0.0081
Iteration 15/1000 - Best score = 0.0081
Iteration 16/1000 - Best score = 0.0081
Iteration 17/1000 - Best score = 0.0081
Iteration 18/1000 - Best score = 0.0081
Iteration 19/1000 - Best score = 0.0081
Iteration 20/1000 - Best score = 0.0081
Iteration 21/1000 - Best score = 0.0081
Iteration 22/1000 - Best score = 0.0090
Iteration 23/1000 - Best score = 0.0090
Iteration 24/1000 - Best score = 0.0090
Iteration 25/1000 - Best score = 0.0090
Iteration 26/1000 - Best score = 0.0090
Iteration 27/1000 - Best score = 0.0090
Iteration 28/1000 - Best score = 0.0090
Iteration 29/1000 - Best score = 0.0090
Iteration 30/1000 - Best score = 0.0090
Iteration 31/1000 - Best score = 0.0090
Iteration 32/1000 - Best score = 0.0090
Iteration 33/1000 - Best score = 0.0090
Iteration 34/1000 - Best score = 0.0090
Iteration 35/1000 - Best score = 0.0090
Iteration 36/1000 - Best score = 0.0090
Iteration 37/1000 - Best score = 0.0090
Iteration 38/1000 - Best score = 0.0090
Iteration 39/1000 - Best score = 0.0090
Iteration 40/1000 - Best score = 0.0090
Iteration 41/1000 - Best score = 0.0090
Iteration 42/1000 - Best score = 0.0090
Iteration 43/1000 - Best score = 0.0090
Iteration 44/1000 - Best score = 0.0090
Iteration 45/1000 - Best score = 0.0090
Iteration 46/1000 - Best score = 0.0090
Iteration 47/1000 - Best score = 0.0090
Iteration 48/1000 - Best score = 0.0090
Iteration 49/1000 - Best score = 0.0090
Iteration 50/1000 - Best score = 0.0100
Iteration 51/1000 - Best score = 0.0100
Iteration 52/1000 - Best score = 0.0100
Iteration 53/1000 - Best score = 0.0100
Iteration 54/1000 - Best score = 0.0100
Iteration 55/1000 - Best score = 0.0100
Iteration 56/1000 - Best score = 0.0100
Iteration 57/1000 - Best score = 0.0100
Iteration 58/1000 - Best score = 0.0100
Iteration 59/1000 - Best score = 0.0100
Iteration 60/1000 - Best score = 0.0100
Iteration 61/1000 - Best score = 0.0100
Iteration 62/1000 - Best score = 0.0100
Iteration 63/1000 - Best score = 0.0100
Iteration 64/1000 - Best score = 0.0100
Iteration 65/1000 - Best score = 0.0100
Iteration 66/1000 - Best score = 0.0100
Iteration 67/1000 - Best score = 0.0100
Iteration 68/1000 - Best score = 0.0100
Iteration 69/1000 - Best score = 0.0100
Iteration 70/1000 - Best score = 0.0100
Iteration 71/1000 - Best score = 0.0100
Iteration 72/1000 - Best score = 0.0100
Iteration 73/1000 - Best score = 0.0100
Iteration 74/1000 - Best score = 0.0100
Iteration 75/1000 - Best score = 0.0100
Iteration 76/1000 - Best score = 0.0100
Iteration 77/1000 - Best score = 0.0100
Iteration 78/1000 - Best score = 0.0100
Iteration 79/1000 - Best score = 0.0100
Iteration 80/1000 - Best score = 0.0100
Iteration 81/1000 - Best score = 0.0100
Iteration 82/1000 - Best score = 0.0100
Iteration 83/1000 - Best score = 0.0100
Iteration 84/1000 - Best score = 0.0100
Iteration 85/1000 - Best score = 0.0100
Iteration 86/1000 - Best score = 0.0100
Iteration 87/1000 - Best score = 0.0100
Iteration 88/1000 - Best score = 0.0100
Iteration 89/1000 - Best score = 0.0100
Iteration 90/1000 - Best score = 0.0100
Iteration 91/1000 - Best score = 0.0100
Iteration 92/1000 - Best score = 0.0100
Iteration 93/1000 - Best score = 0.0100
Iteration 94/1000 - Best score = 0.0100
Iteration 95/1000 - Best score = 0.0100
Iteration 96/1000 - Best score = 0.0100
Iteration 97/1000 - Best score = 0.0100
Iteration 98/1000 - Best score = 0.0100
Iteration 99/1000 - Best score = 0.0100
Iteration 100/1000 - Best score = 0.0140
Iteration 101/1000 - Best score = 0.0140
Iteration 102/1000 - Best score = 0.0140
Iteration 103/1000 - Best score = 0.0140
Iteration 104/1000 - Best score = 0.0140
Iteration 105/1000 - Best score = 0.0140
Iteration 106/1000 - Best score = 0.0140
Iteration 107/1000 - Best score = 0.0140
Iteration 108/1000 - Best score = 0.0140
Iteration 109/1000 - Best score = 0.0140
Iteration 110/1000 - Best score = 0.0155
Iteration 111/1000 - Best score = 0.0155
Iteration 112/1000 - Best score = 0.0155
Iteration 113/1000 - Best score = 0.0155
Iteration 114/1000 - Best score = 0.0155
Iteration 115/1000 - Best score = 0.0155
Iteration 116/1000 - Best score = 0.0155
Iteration 117/1000 - Best score = 0.0155
Iteration 118/1000 - Best score = 0.0155
Iteration 119/1000 - Best score = 0.0155
Iteration 120/1000 - Best score = 0.0155
Iteration 121/1000 - Best score = 0.0155
Iteration 122/1000 - Best score = 0.0155
Iteration 123/1000 - Best score = 0.0155
Iteration 124/1000 - Best score = 0.0155
Iteration 125/1000 - Best score = 0.0155
Iteration 126/1000 - Best score = 0.0155
Iteration 127/1000 - Best score = 0.0155
Iteration 128/1000 - Best score = 0.0155
Iteration 129/1000 - Best score = 0.0155
Iteration 130/1000 - Best score = 0.0155
Iteration 131/1000 - Best score = 0.0155
Iteration 132/1000 - Best score = 0.0155
Iteration 133/1000 - Best score = 0.0155
Iteration 134/1000 - Best score = 0.0190
Iteration 135/1000 - Best score = 0.0190
Iteration 136/1000 - Best score = 0.0190
Iteration 137/1000 - Best score = 0.0190
Iteration 138/1000 - Best score = 0.0190
Iteration 139/1000 - Best score = 0.0190
Iteration 140/1000 - Best score = 0.0190
Iteration 141/1000 - Best score = 0.0190
Iteration 142/1000 - Best score = 0.0190
Iteration 143/1000 - Best score = 0.0190
Iteration 144/1000 - Best score = 0.0190
Iteration 145/1000 - Best score = 0.0190
Iteration 146/1000 - Best score = 0.0190
Iteration 147/1000 - Best score = 0.0190
Iteration 148/1000 - Best score = 0.0190
Iteration 149/1000 - Best score = 0.0190
Iteration 150/1000 - Best score = 0.0190
Iteration 151/1000 - Best score = 0.0190
Iteration 152/1000 - Best score = 0.0191
Iteration 153/1000 - Best score = 0.0191
Iteration 154/1000 - Best score = 0.0260
Iteration 155/1000 - Best score = 0.0260
Iteration 156/1000 - Best score = 0.0260
Iteration 157/1000 - Best score = 0.0260
Iteration 158/1000 - Best score = 0.0331
Iteration 159/1000 - Best score = 0.0361
Iteration 160/1000 - Best score = 0.0361
Iteration 161/1000 - Best score = 0.0361
Iteration 162/1000 - Best score = 0.0521
Iteration 163/1000 - Best score = 0.0531
Iteration 164/1000 - Best score = 0.0531
Iteration 165/1000 - Best score = 0.0531
Iteration 166/1000 - Best score = 0.0531
Iteration 167/1000 - Best score = 0.0531
Iteration 168/1000 - Best score = 0.0531
Iteration 169/1000 - Best score = 0.0531
Iteration 170/1000 - Best score = 0.0531
Iteration 171/1000 - Best score = 0.0531
Iteration 172/1000 - Best score = 0.0531
Iteration 173/1000 - Best score = 0.0531
Iteration 174/1000 - Best score = 0.0531
Iteration 175/1000 - Best score = 0.0531
Iteration 176/1000 - Best score = 0.0531
Iteration 177/1000 - Best score = 0.0531
Iteration 178/1000 - Best score = 0.0531
Iteration 179/1000 - Best score = 0.0531
Iteration 180/1000 - Best score = 0.0531
Iteration 181/1000 - Best score = 0.0531
Iteration 182/1000 - Best score = 0.0580
Iteration 183/1000 - Best score = 0.0751
Iteration 184/1000 - Best score = 0.0751
Iteration 185/1000 - Best score = 0.0751
Iteration 186/1000 - Best score = 0.0751
Iteration 187/1000 - Best score = 0.0751
Iteration 188/1000 - Best score = 0.0751
Iteration 189/1000 - Best score = 0.0751
Iteration 190/1000 - Best score = 0.0751
Iteration 191/1000 - Best score = 0.0751
Iteration 192/1000 - Best score = 0.0751
Iteration 193/1000 - Best score = 0.0751
Iteration 194/1000 - Best score = 0.0751
Iteration 195/1000 - Best score = 0.0751
Iteration 196/1000 - Best score = 0.0751
Iteration 197/1000 - Best score = 0.1193
Iteration 198/1000 - Best score = 0.1193
Iteration 199/1000 - Best score = 0.1193
Iteration 200/1000 - Best score = 0.1193
Iteration 201/1000 - Best score = 0.1410
Iteration 202/1000 - Best score = 0.1410
Iteration 203/1000 - Best score = 0.1410
Iteration 204/1000 - Best score = 0.1410
Iteration 205/1000 - Best score = 0.1410
Iteration 206/1000 - Best score = 0.1410
Iteration 207/1000 - Best score = 0.1410
Iteration 208/1000 - Best score = 0.1410
Iteration 209/1000 - Best score = 0.1410
Iteration 210/1000 - Best score = 0.1610
Iteration 211/1000 - Best score = 0.1610
Iteration 212/1000 - Best score = 0.1630
Iteration 213/1000 - Best score = 0.1630
Iteration 214/1000 - Best score = 0.1630
Iteration 215/1000 - Best score = 0.1630
Iteration 216/1000 - Best score = 0.1630
Iteration 217/1000 - Best score = 0.1630
Iteration 218/1000 - Best score = 0.1640
Iteration 219/1000 - Best score = 0.1640
Iteration 220/1000 - Best score = 0.1640
Iteration 221/1000 - Best score = 0.1691
Iteration 222/1000 - Best score = 0.1691
Iteration 223/1000 - Best score = 0.1691
Iteration 224/1000 - Best score = 0.1691
Iteration 225/1000 - Best score = 0.1691
Iteration 226/1000 - Best score = 0.1691
Iteration 227/1000 - Best score = 0.1691
Iteration 228/1000 - Best score = 0.1691
Iteration 229/1000 - Best score = 0.1710
Iteration 230/1000 - Best score = 0.1710
Iteration 231/1000 - Best score = 0.1710
Iteration 232/1000 - Best score = 0.1710
Iteration 233/1000 - Best score = 0.1710
Iteration 234/1000 - Best score = 0.1710
Iteration 235/1000 - Best score = 0.1710
Iteration 236/1000 - Best score = 0.1710
Iteration 237/1000 - Best score = 0.1710
Iteration 238/1000 - Best score = 0.1710
Iteration 239/1000 - Best score = 0.1710
Iteration 240/1000 - Best score = 0.1710
Iteration 241/1000 - Best score = 0.1710
Iteration 242/1000 - Best score = 0.1710
Iteration 243/1000 - Best score = 0.1710
Iteration 244/1000 - Best score = 0.1710
Iteration 245/1000 - Best score = 0.1710
Iteration 246/1000 - Best score = 0.1710
Iteration 247/1000 - Best score = 0.1710
Iteration 248/1000 - Best score = 0.1710
Iteration 249/1000 - Best score = 0.1710
Iteration 250/1000 - Best score = 0.1721
Iteration 251/1000 - Best score = 0.1721
Iteration 252/1000 - Best score = 0.1721
Iteration 253/1000 - Best score = 0.1750
Iteration 254/1000 - Best score = 0.1750
Iteration 255/1000 - Best score = 0.1750
Iteration 256/1000 - Best score = 0.1750
Iteration 257/1000 - Best score = 0.1750
Iteration 258/1000 - Best score = 0.1750
Iteration 259/1000 - Best score = 0.1750
Iteration 260/1000 - Best score = 0.1750
Iteration 261/1000 - Best score = 0.1750
Iteration 262/1000 - Best score = 0.1750
Iteration 263/1000 - Best score = 0.1750
Iteration 264/1000 - Best score = 0.1751
Iteration 265/1000 - Best score = 0.1751
Iteration 266/1000 - Best score = 0.1751
Iteration 267/1000 - Best score = 0.1751
Iteration 268/1000 - Best score = 0.1780
Iteration 269/1000 - Best score = 0.1780
Iteration 270/1000 - Best score = 0.1780
Iteration 271/1000 - Best score = 0.1780
Iteration 272/1000 - Best score = 0.1780
Iteration 273/1000 - Best score = 0.1780
Iteration 274/1000 - Best score = 0.1780
Iteration 275/1000 - Best score = 0.1780
Iteration 276/1000 - Best score = 0.1780
Iteration 277/1000 - Best score = 0.1780
Iteration 278/1000 - Best score = 0.1780
Iteration 279/1000 - Best score = 0.1780
Iteration 280/1000 - Best score = 0.1780
